,id,coordinates,flood_risk,date
174,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e26,"[33.3816, 19.5028]",0,2023-12-19T00:00:00Z
175,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e25,"[33.3816, 19.5028]",0,2023-12-20T00:00:00Z
176,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e24,"[33.3816, 19.5028]",0,2023-12-21T00:00:00Z
177,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e23,"[33.3816, 19.5028]",0,2023-12-22T00:00:00Z
178,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e22,"[33.3816, 19.5028]",0,2023-12-23T00:00:00Z
179,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e21,"[33.3816, 19.5028]",0,2023-12-24T00:00:00Z
180,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e20,"[33.3816, 19.5028]",0,2023-12-25T00:00:00Z
181,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e1f,"[33.3816, 19.5028]",0,2023-12-26T00:00:00Z
182,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e1e,"[33.3816, 19.5028]",0,2023-12-27T00:00:00Z
183,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e1d,"[33.3816, 19.5028]",0,2023-12-28T00:00:00Z
184,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e1c,"[33.3816, 19.5028]",0,2023-12-29T00:00:00Z
185,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e1b,"[33.3816, 19.5028]",0,2023-12-30T00:00:00Z
186,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e1a,"[33.3816, 19.5028]",0,2023-12-31T00:00:00Z
187,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e19,"[33.3816, 19.5028]",0,2024-01-01T00:00:00Z
188,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e18,"[33.3816, 19.5028]",0,2024-01-02T00:00:00Z
189,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e17,"[33.3816, 19.5028]",0,2024-01-03T00:00:00Z
190,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e16,"[33.3816, 19.5028]",0,2024-01-04T00:00:00Z
191,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e15,"[33.3816, 19.5028]",0,2024-01-05T00:00:00Z
192,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e14,"[33.3816, 19.5028]",0,2024-01-06T00:00:00Z
193,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e13,"[33.3816, 19.5028]",0,2024-01-07T00:00:00Z
194,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e12,"[33.3816, 19.5028]",0,2024-01-08T00:00:00Z
195,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e11,"[33.3816, 19.5028]",0,2024-01-09T00:00:00Z
196,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e10,"[33.3816, 19.5028]",0,2024-01-10T00:00:00Z
197,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e0f,"[33.3816, 19.5028]",0,2024-01-11T00:00:00Z
198,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e0e,"[33.3816, 19.5028]",0,2024-01-12T00:00:00Z
199,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e0d,"[33.3816, 19.5028]",0,2024-01-13T00:00:00Z
200,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e0c,"[33.3816, 19.5028]",0,2024-01-15T00:00:00Z
201,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e0b,"[33.3816, 19.5028]",0,2024-01-16T00:00:00Z
202,hybas_hotsport_cluster.fid-5413dab1_193bdfd4153_-3e0a,"[33.3816, 19.5028]",0,2024-01-17T00:00:00Z
